Matched_REFSEQ	SEQID	Identifier_type	SRA_accession	Strain	Source1	Source2	Serotype	STX
2018-MER-0084	2018-MER-0084	pre-matched	SRR22858735	CFIAFB20180385	Flour	Flour	O103:H25	Stx1a
2018-MER-0085	2018-MER-0085	pre-matched	SRR22715133	CFIAFB20180386	Flour	Flour	O103:H25	Stx1a
2018-MER-0108	2018-MER-0108	pre-matched	SRR22858713	CFIAFB20180560	Meat	Meat	OUT:H29	Stx2c
2018-SEQ-0096	2018-SEQ-0096	pre-matched	SRR22715057	CFIAFB20180275	Meat	Meat	O157:H7	Stx2a
2018-SEQ-0097	2018-SEQ-0097	pre-matched	SRR22715078	CFIAFB20180276	Meat	Meat	O157:H7	Stx2a
2018-SEQ-0225	2018-SEQ-0225	pre-matched	SRR22715115	CFIAFB20180277	Meat	Meat	O157:H7	Stx2a
2018-SEQ-0226	2018-SEQ-0226	pre-matched	SRR22715104	CFIAFB20180278	Meat	Meat	O157:H7	Stx2a
2018-SEQ-0227	2018-SEQ-0227	pre-matched	SRR22715045	CFIAFB20180279	Meat	Meat	O157:H7	Stx2a
2018-SEQ-0228	2018-SEQ-0228	pre-matched	SRR22715132	CFIAFB20180280	Meat	Meat	O157:H7	Stx2a
2018-SEQ-0229	2018-SEQ-0229	pre-matched	SRR22715131	CFIAFB20180281	Meat	Meat	O157:H7	Stx2a
2018-SEQ-0230	2018-SEQ-0230	pre-matched	SRR22715130	CFIAFB20180282	Meat	Meat	O157:H7	Stx2a
2018-SEQ-0231	2018-SEQ-0231	pre-matched	SRR22715129	CFIAFB20180283	Meat	Meat	O157:H7	Stx2a
2018-SEQ-0232	2018-SEQ-0232	pre-matched	SRR22715128	CFIAFB20180284	Meat	Meat	O157:H7	Stx2a
2018-SEQ-0233	2018-SEQ-0233	pre-matched	SRR22715058	CFIAFB20180285	Meat	Meat	O157:H7	Stx2a
2018-SEQ-0240	2018-SEQ-0240	pre-matched	SRR22858748	CFIAFB20180582	Meat	Meat	O108:H21	Stx1c
2018-SEQ-0241	2018-SEQ-0241	pre-matched	SRR22858761	CFIAFB20180606	Meat	Meat	O108:H21	Stx1c
2018-SEQ-0293	2018-SEQ-0293	pre-matched	SRR22858738	CFIAFB20180485	Meat	Lamb	O128:H2	Stx2b,Stx1c
2018-SEQ-0340	2018-SEQ-0340	pre-matched	SRR22715046	CFIAFB20180484	Meat	Meat	OUT:H10	Stx2d
2018-SEQ-0371	2018-SEQ-0371	pre-matched	SRR22715127	CFIAFB20180300	Meat	Meat	O26:H32	ND
2018-SEQ-0375	2018-SEQ-0375	pre-matched	SRR22858707	CFIAFB20180304	Meat	Meat	O157:H7	Stx1a,Stx2c
2018-SEQ-0399	2018-SEQ-0399	pre-matched	SRR22858730	CFIAFB20180305	Meat	Meat	O91:H14	Stx2b,Stx1a
2018-SEQ-0400	2018-SEQ-0400	pre-matched	SRR22858731	CFIAFB20180306	Meat	Meat	O128:H2	Stx2b,Stx1c
2018-SEQ-0589	2018-SEQ-0589	pre-matched	SRR22715081	CFIAFB20180504	Meat	Lamb	O104:H7	Stx1c
2018-SEQ-0617	2018-SEQ-0617	pre-matched	SRR22858739	CFIAFB20180501	Meat	Lamb	O91:H14	Stx2b,Stx1a
2018-SEQ-0618	2018-SEQ-0618	pre-matched	SRR22858740	CFIAFB20180502	Meat	Lamb	O91:H14	Stx2b,Stx1a
2018-SEQ-0619	2018-SEQ-0619	pre-matched	SRR22858741	CFIAFB20180503	Meat	Lamb	O104:H7	Stx1c
2018-SEQ-0642	2018-SEQ-0642	pre-matched	SRR22715126	CFIAFB20180323	Meat	Lamb	O91:H14	Stx2b,Stx1a
2018-SEQ-0643	2018-SEQ-0643	pre-matched	SRR22858733	CFIAFB20180324	Meat	Lamb	O91:H14	Stx2b,Stx1a
2018-SEQ-0644	2018-SEQ-0644	pre-matched	SRR22858734	CFIAFB20180325	Meat	Lamb	O91:H14	Stx2b,Stx1a
2018-SEQ-0771	2018-SEQ-0771	pre-matched	SRR22715049	CFIAFB20180322	Meat	Lamb	O75:H8	Stx2b,Stx1c
2018-SEQ-0777	2018-SEQ-0777	pre-matched	SRR22715122	CFIAFB20180346	Meat	Lamb	O104:H7	Stx1c
2018-SEQ-0778	2018-SEQ-0778	pre-matched	SRR22715095	CFIAFB20180347	Meat	Lamb	O104:H7	Stx1c
2018-SEQ-0897	2018-SEQ-0897	pre-matched	SRR22858742	CFIAFB20180514	Meat	Meat	O174:H21	Stx2c
2018-SEQ-0898	2018-SEQ-0898	pre-matched	SRR22858744	CFIAFB20180515	Meat	Meat	O174:H21	Stx2c
2018-SEQ-1017	2018-SEQ-1017	pre-matched	SRR22858745	CFIAFB20180532	Meat	Lamb	OUT:H16	Stx1c
2018-SEQ-1060	2018-SEQ-1060	pre-matched	SRR22715074	CFIAFB20180513	Meat	Meat	O174:H21	Stx2c
2018-SEQ-1061	2018-SEQ-1061	pre-matched	SRR22858708	CFIAFB20180538	Meat	Lamb	O91:H14	Stx2b,Stx1c
2018-SEQ-1062	2018-SEQ-1062	pre-matched	SRR22858709	CFIAFB20180539	Meat	Lamb	O128:H2	Stx2b,Stx1c
2018-SEQ-1090	2018-SEQ-1090	pre-matched	SRR28490886	CFIAFB20180529	Meat	Meat	O174:H21	Stx2c
2018-SEQ-1270	2018-SEQ-1270	pre-matched	SRR22858710	CFIAFB20180540	Meat	Lamb	O8:H9	Stx2e
2018-SEQ-1323	2018-SEQ-1323	pre-matched	SRR22858714	CFIAFB20180561	Meat	Lamb	O91:H14	Stx2b,Stx1a
2018-SEQ-1324	2018-SEQ-1324	pre-matched	SRR22858715	CFIAFB20180562	Meat	Lamb	O91:H14	Stx2b,Stx1a
2018-SEQ-1328	2018-SEQ-1328	pre-matched	SRR22858737	CFIAFB20180411	Dairy	Dairy	O157:H7	Stx2a
2018-SEQ-1382	2018-SEQ-1382	pre-matched	SRR22858711	CFIAFB20180550	Meat	Lamb	O128:H2	Stx2b,Stx1c
2018-SEQ-1383	2018-SEQ-1383	pre-matched	SRR18215050	CFIAFB20180551	Meat	Lamb	O176:H4	Stx2b,Stx1c
2018-SEQ-1392	2018-SEQ-1392	pre-matched	SRR22858736	CFIAFB20180410	Dairy	Dairy	O157:H7	Stx2a
2018-SEQ-1598	2018-SEQ-1598	pre-matched	SRR28490829	CFIAFB20190167	Meat	Lamb	O128:H2	Stx1c
2018-SEQ-1637	2018-SEQ-1637	pre-matched	SRR28490846	CFIAFB20190171	Meat	Lamb	O3:H21	Stx2b,Stx1c
2018-STH-0001	2018-STH-0001	pre-matched	SRR22858724	CFIAFB20180597	Meat	Meat	O91:H14	Stx2b,Stx1a
2018-STH-0003	2018-STH-0003	pre-matched	SRR22858725	CFIAFB20180598	Meat	Meat	O91:H14	Stx2b,Stx1a
2018-STH-0004	2018-STH-0004	pre-matched	SRR22858726	CFIAFB20180599	Meat	Meat	O91:H14	Stx2b,Stx1a
2018-STH-0049	2018-STH-0049	pre-matched	SRR22715119	CFIAFB20180244	Meat	Meat	O157:H7	Stx1a,Stx2a
2018-STH-0050	2018-STH-0050	pre-matched	SRR22715101	CFIAFB20180246	Meat	Meat	O157:H7	Stx1a,Stx2a
2018-STH-0051	2018-STH-0051	pre-matched	SRR22715102	CFIAFB20180245	Meat	Meat	O157:H7	Stx1a,Stx2a
2018-STH-0052	2018-STH-0052	pre-matched	SRR22715100	CFIAFB20180247	Meat	Meat	O157:H7	Stx1a,Stx2a
2018-STH-0053	2018-STH-0053	pre-matched	SRR22715120	CFIAFB20180248	Meat	Meat	O157:H7	Stx1a,Stx2a
2018-STH-0054	2018-STH-0054	pre-matched	SRR22715056	CFIAFB20180249	Meat	Meat	O157:H7	Stx1a,Stx2a
2018-STH-0056	2018-STH-0056	pre-matched	SRR22715092	CFIAFB20180261	Meat	Meat	O157:H7	Stx1a,Stx2a
2018-STH-0057	2018-STH-0057	pre-matched	SRR22715091	CFIAFB20180262	Meat	Meat	O157:H7	Stx1a,Stx2a
2018-STH-0058	2018-STH-0058	pre-matched	SRR22715090	CFIAFB20180263	Meat	Meat	O157:H7	Stx1a,Stx2a
2018-STH-0060	2018-STH-0060	pre-matched	SRR22715098	CFIAFB20180252	Meat	Meat	O157:H7	Stx1a,Stx2a
2018-STH-0061	2018-STH-0061	pre-matched	SRR22715097	CFIAFB20180253	Meat	Meat	O157:H7	Stx1a,Stx2a
2018-STH-0062	2018-STH-0062	pre-matched	SRR22715096	CFIAFB20180254	Meat	Meat	O157:H7	Stx1a,Stx2a
2018-STH-0063	2018-STH-0063	pre-matched	SRR22715094	CFIAFB20180255	Meat	Meat	O157:H7	Stx1a,Stx2a
2018-STH-0064	2018-STH-0064	pre-matched	SRR22715093	CFIAFB20180257	Meat	Meat	O157:H7	Stx1a,Stx2a
2018-STH-0065	2018-STH-0065	pre-matched	SRR22858699	CFIAFB20180600	Meat	Meat	O128:H2	Stx2b,Stx1c
2018-STH-0066	2018-STH-0066	pre-matched	SRR22858732	CFIAFB20180601	Meat	Meat	O128:H2	Stx2b,Stx1c
2018-STH-0067	2018-STH-0067	pre-matched	SRR22858743	CFIAFB20180602	Meat	Meat	O128:H2	Stx2b,Stx1c
