Matched_REFSEQ	SEQID	Identifier_type	SRA_accession	Strain	Source1	Source2	Serotype	STX
2020-SEQ-0387	2020-SEQ-0387	pre-matched	SRR28490830	CFIAFB20200190	Meat	Meat	OUT:H10	Stx2b,Stx1c
2021-BUR-0024	2021-BUR-0024	pre-matched	SRR28490845	CFIAFB20210042	Meat	Meat	O171:H2	Stx2d
2021-DAR-0007	2021-DAR-0007	pre-matched	SRR28490823	CFIAFB20210118	Meat	Lamb	O146:H8	Stx1c
2021-DAR-0014	2021-DAR-0014	pre-matched	SRR28490890	CFIAFB20210070	Meat	Meat	O5:H9	Stx1a
2021-DAR-0015	2021-DAR-0015	pre-matched	SRR28490876	CFIAFB20210071	Meat	Meat	O128:H2	Stx2b,Stx1c
2021-DAR-0023	2021-DAR-0023	pre-matched	SRR28490837	CFIAFB20210077	Meat	Meat	O128:H2	Stx2b,Stx1c
2021-DAR-0024	2021-DAR-0024	pre-matched	SRR28490835	CFIAFB20210078	Meat	Lamb	O9:H30	Stx2i
2021-GTA-0018	2021-GTA-0018	pre-matched	SRR28490885	CFIAFB20210083	Meat	Meat	O174:H21	Stx2c
2021-GTA-0022	2021-GTA-0022	pre-matched	SRR28490899	CFIAFB20210086	Meat	Lamb	O91:H14	Stx2b,Stx1a
2021-GTA-0023	2021-GTA-0023	pre-matched	SRR28490821	CFIAFB20210082	Meat	Lamb	OUT:H8	Stx1c
2021-GTA-0024	2021-GTA-0024	pre-matched	SRR28490850	CFIAFB20210085	Meat	Meat	OUT:H2	Stx2d
2021-MER-0003	2021-MER-0003	pre-matched	SRR28490892	CFIAFB20200188	Meat	Meat	O153:H25	Stx2b
2021-MER-0004	2021-MER-0004	pre-matched	SRR28490825	CFIAFB20200189	Meat	Meat	OUT:H8	Stx1c
2021-MER-0007	2021-MER-0007	pre-matched	SRR28490896	CFIAFB20190260	Meat	Meat	O91:H14	Stx2b,Stx1a
2021-MER-0013	2021-MER-0013	pre-matched	SRR28490908	CFIAFB20170190	Meat	Meat	O157:H7	Stx1a,Stx2a
2021-MIN-0009	2021-MIN-0009	pre-matched	SRR28490847	CFIAFB20190239	Meat	Lamb	O8:H19	Stx2i
2021-MIN-0249	2021-MIN-0249	pre-matched	SRR18215048	CFIAFB20190172	Meat	Lamb	O8:H25	Stx2i
2021-MIN-0250	2021-MIN-0250	pre-matched	SRR18215053	CFIAFB20180511	Meat	Lamb	O9:H30	Stx2i
2021-MIN-0251	2021-MIN-0251	pre-matched	SRR22715050	CFIAFB20180512	Meat	Lamb	OUT:H21	Stx2i
2021-MIN-0252	2021-MIN-0252	pre-matched	SRR28490891	CFIAFB20200034	Meat	Lamb	OUT:H21	Stx2i
2021-SEQ-0001	2021-SEQ-0001	pre-matched	SRR28490831	CFIAFB20200200	Meat	Meat	O123:H10	Stx2b,Stx1c
2021-SEQ-0006	2021-SEQ-0006	pre-matched	SRR28490858	CFIAFB20200208	Meat	Meat	O55:H12	Stx1a
2021-SEQ-0074	2021-SEQ-0074	pre-matched	SRR28490833	CFIAFB20200207	Meat	Meat	O104:H7	Stx1c
2021-SEQ-0097	2021-SEQ-0097	pre-matched	SRR28490900	CFIAFB20200206	Meat	Meat	O91:H14	Stx2b,Stx1a
2021-SEQ-0388	2021-SEQ-0388	pre-matched	SRR28490889	CFIAFB20210105	Meat	Meat	OUT:H29	Stx2c,Stx2b
2021-SEQ-0504	2021-SEQ-0504	pre-matched	SRR28490819	CFIAFB20190305	Meat	Meat	O91:H14	Stx2b,Stx1a
CFIAFB20180581	2019-DAR-0014	pre-matched	SRR22858747	CFIAFB20180581	Meat	Lamb	OUT:H21	Stx2i
GCA_012139605.1	SRR7629331	pre-matched	SRR7629331	CFIAFB20120179	Meat	Meat	O157:H7	Stx2a,Stx1a
GCA_012139625.1	SRR7629332	pre-matched	SRR7629332	CFIAFB20120247	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_012139645.1	SRR7629329	pre-matched	SRR7629329	CFIAFB20120242	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_012139665.1	SRR7629330	pre-matched	SRR7629330	CFIAFB20120254	Meat	Meat	O157:H7	Stx2a
GCA_012139705.1	SRR7629324	pre-matched	SRR7629324	CFIAFB20120251	Meat	Meat	O157:H7	Stx2a
GCA_012139725.1	SRR7629320	pre-matched	SRR7629320	CFIAFB20120246	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_012139885.1	SRR7629326	pre-matched	SRR7629326	CFIAFB20130140	Meat	Meat	O157:H7	Stx2a
GCA_012139945.1	SRR7629322	pre-matched	SRR7629322	CFIAFB20120180	Meat	Meat	O157:H7	Stx2a,Stx1a
GCA_012140065.1	SRR7629284	pre-matched	SRR7629284	CFIAFB20120269	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_012140085.1	SRR7629325	pre-matched	SRR7629325	CFIAFB20120250	Meat	Meat	O157:H7	Stx2a,Stx1a
GCA_012140205.1	SRR7629314	pre-matched	SRR7629314	CFIAFB20130131	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_012140245.1	SRR7629308	pre-matched	SRR7629308	CFIAFB20120243	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_012140285.1	SRR7629304	pre-matched	SRR7629304	CFIAFB20120245	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_012140305.1	SRR7629307	pre-matched	SRR7629307	CFIAFB20120271	Meat	Meat	O157:H7	Stx2a,Stx1a
GCA_012140325.1	SRR7629313	pre-matched	SRR7629313	CFIAFB20120249	Meat	Meat	O157:H7	Stx2a
GCA_012140365.1	SRR7629306	pre-matched	SRR7629306	CFIAFB20120253	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_012140385.1	SRR7629303	pre-matched	SRR7629303	CFIAFB20120268	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_012140405.1	SRR7629305	pre-matched	SRR7629305	CFIAFB20120191	Meat	Meat	O157:H7	Stx2a,Stx1a
GCA_012140425.1	SRR7629300	pre-matched	SRR7629300	CFIAFB20130142	Meat	Meat	O157:H7	Stx2a
GCA_012140445.1	SRR7629302	pre-matched	SRR7629302	CFIAFB20120221	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_012140465.1	SRR7629298	pre-matched	SRR7629298	CFIAFB20130133	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_012140485.1	SRR7629301	pre-matched	SRR7629301	CFIAFB20130135	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_012140505.1	SRR7629299	pre-matched	SRR7629299	CFIAFB20130132	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_012140605.1	SRR7629294	pre-matched	SRR7629294	CFIAFB20120248	Meat	Meat	O157:H7	Stx2a
GCA_012140625.1	SRR7629297	pre-matched	SRR7629297	CFIAFB20120178	Meat	Meat	O157:H7	Stx2a,Stx1a
GCA_012140665.1	SRR7629291	pre-matched	SRR7629291	CFIAFB20130134	Meat	Meat	O157:H7	Stx2a
GCA_012140725.1	SRR7629289	pre-matched	SRR7629289	CFIAFB20120181	Meat	Meat	O157:H7	Stx2a,Stx1a
GCA_012141085.1	SRR7629311	pre-matched	SRR7629311	CFIAFB20120187	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_012141125.1	SRR7629312	pre-matched	SRR7629312	CFIAFB20120188	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_012141225.1	SRR7629309	pre-matched	SRR7629309	CFIAFB20120270	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_012148805.1	SRR7536942	pre-matched	SRR7536942	CFIAFB20120183	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_012149105.1	SRR7536941	pre-matched	SRR7536941	CFIAFB20120184	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_012149165.1	SRR7536940	pre-matched	SRR7536940	CFIAFB20120185	Meat	Meat	O157:H7	Stx2a,Stx1a
GCA_012250705.1	SRR7629293	pre-matched	SRR7629293	CFIAFB20120220	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_013061965.1	SRR7629296	pre-matched	SRR7629296	CFIAFB20120255	Meat	Meat	O157:H7	ND
